Marca temporal;Sexo;Edad;¿En qué barrio vivís?;¿Con qué frecuencia visitás el restaurante?;¿Cuál es el motivo principal de tus visitas?;¿Qué aspectos te motivan a elegir el restaurante?;¿Cómo definirías al restaurante?;¿Cómo calificarías la calidad de nuestros platos?;¿Qué opinás sobre nuestro servicio al cliente?;¿Qué opinás sobre la atmósfera y el diseño interior del lugar?;¿Qué aspectos de la ambientación sugerís mejorar?;De lo que hayas probado, ¿cuáles son tus preferidos del menú?;¿Hay algún plato o bebida que te gustaría que agreguemos al menú?;¿Experimentaste algún problema o inconveniente durante tus visitas al restaurante? Especificar si corresponde;¿Estarías interesado en eventos especiales organizados por nosotros? Ejemplo: cenas temáticas, catas de vino, noche de música en vivo, etc.;¿Tenés alguna recomendación o sugerencia para mejorar el restaurante?;;Puntuación
8/4/2023 21:00:48;Mujer;18 a 25 años;Punta gorda;Semanalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Parrilla;Tragos;;Si, me gustan este tipo de eventos;;;
8/4/2023 21:02:56;Mujer;36 a 45 años;Malvin ;Semanalmente;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Familiar;Regular;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música, Comodidad del mobiliario;Chivito,ñoquis y parrilla ;Entradas varias ;;Si, me gustan este tipo de eventos;A mi criterio estaría bueno actualizar  y modernizar un poco más la carta. ;;
8/4/2023 21:27:51;Mujer;18 a 25 años;Malvin ;Ocasionalmente;Comidas familiares;Ubicación conveniente;Restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ventilación;;;;No, no estoy interesado en este tipo de actividades;;;
8/4/2023 22:38:03;Mujer;18 a 25 años;Carrasco;Una vez al mes o más;Reuniones con amigos;El ambiente y su calidez;Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;Asado ;;;;;;
8/4/2023 23:06:10;Mujer;46 a 55 años;Malvin;Ocasionalmente;Reuniones con amigos;Ubicación conveniente;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;;;;No, no estoy interesado en este tipo de actividades;La milanesa de carne estaba un poco dura y con nervio que dificultaba cortarla;;
8/4/2023 23:09:09;Mujer;56 a 65 años;Parque rivera ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Bar de siempre, Bar que te atienden como restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;Pizas chivito pastas parrilla ;Sushi;;Si, me gustan este tipo de eventos;;;
8/4/2023 23:31:25;Hombre;56 a 65 años;Malvin;Ocasionalmente;Reuniones con amigos;Tradición e historia del lugar;Bar que te atienden como restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;No me gusta, creo que necesita un rediseño;Iluminación, Comodidad del mobiliario;Chivito;;;Si, me gustan este tipo de eventos;;;
8/4/2023 23:31:44;Mujer;56 a 65 años;Malvín ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación;;Aguas saborizadas naturales ;;No, no estoy interesado en este tipo de actividades;;;
8/4/2023 23:49:56;Hombre;Menor de 18 años;Punta Gorda;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Bar de siempre, Bar que te atienden como restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;nada, esta perfecto asi;Hamburguesa americana ;Risotto ;no;Si, me gustan este tipo de eventos;;;
8/4/2023 23:52:30;Hombre;Menor de 18 años;Punta gorda;;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente, La decoración del lugar;Familiar, Restaurante, Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada;Chivito;Risotto ;No;;;;
8/4/2023 23:54:41;Mujer;65 a 75 años;Malvin;Varias veces al año;Reuniones con amigos;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente, La atención personal y muy cordial siempre;Bar de siempre, Restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada;Pizza, parrilla;No;No;Si, me gustan este tipo de eventos;Musica en vivo algún dia de la semana;;
8/4/2023 23:56:06;Hombre;46 a 55 años;Palermo;Ocasionalmente;Reuniones con amigos;Variedad y calidad del menú;Lugar agradable con buena atención ;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pizzeria, parrilla;;No;Si, me gustan este tipo de eventos;;;
8/4/2023 23:57:17;Mujer;56 a 65 años;Punta Carretas;Varias veces al año;Reuniones con amigos;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada;Picana con guarnición, pizzas, faina;No;No;Si, me gustan este tipo de eventos;No. La música en vivo algunos dias sería un buen plus;;
8/5/2023 12:52:58;Hombre;65 a 75 años;Pando ;Varias veces al año;Comidas familiares;El ambiente y su calidez;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación;Asado;No;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 13:09:40;Mujer;56 a 65 años;Buceo;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Aceptable: podría mejorar en algunos aspectos;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Carnes;Aguas saborizadas;;No, no estoy interesado en este tipo de actividades;No;;
8/5/2023 13:36:10;Mujer;36 a 45 años;Unión ;Varias veces al año;Reuniones con amigos;Tradición e historia del lugar, Ubicación conveniente;Familiar, Restaurante, Bar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Música;Parrilla ;No;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 13:39:39;Mujer;26 a 35 años;centro;Es mi primera visita;Reuniones con amigos;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, La decoración del lugar, Recomendación de conocidos o reseñas positivas;Familiar, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;chivito para 2;;no;Si, me gustan este tipo de eventos;;;
8/5/2023 13:41:23;Mujer;36 a 45 años;Parque del plata;Es mi primera visita;Comida de negocios;Tradición e historia del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;;Variedad de vinos;No;Si, me gustan este tipo de eventos;;;
8/5/2023 13:42:11;Mujer;36 a 45 años;Malvin ;Ocasionalmente;Comida de negocios;Variedad y calidad del menú;Bar de siempre;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Chivito;Refrescos 1.1/2;No;Si, me gustan este tipo de eventos;;;
8/5/2023 13:42:45;Mujer;56 a 65 años;Centro;Es mi primera visita;Reuniones con amigos;Ubicación conveniente;Restaurante, Bar que te atienden como restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente, Música;;;;Si, me gustan este tipo de eventos;;;
8/5/2023 13:49:40;Mujer;26 a 35 años;Jacinto Vera;Es mi primera visita;Reuniones con amigos;Ubicación conveniente;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ventilación;Chivito al plato;No se me ocurre en este momento ;No;Si, me gustan este tipo de eventos;;;
8/5/2023 13:50:16;Mujer;56 a 65 años;La Teja;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Recomendación de conocidos o reseñas positivas;Familiar, Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente, Olores;Picaña ;;;Si, me gustan este tipo de eventos;;;
8/5/2023 13:55:28;Hombre;65 a 75 años;La Teja ;Una vez al mes o más;Reuniones con amigos;Variedad y calidad del menú, Recomendación de conocidos o reseñas positivas;Familiar, Bar que te atienden como restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Ruido ambiente;Carnes en parrilla ;Opciones gluten free panes y pastas o rebozados sin gluten ;;Si, me gustan este tipo de eventos;Opciones gluten free ;;
8/5/2023 13:55:31;Hombre;36 a 45 años;Pocitos;Una vez al mes o más;Comidas familiares;Ubicación conveniente;Familiar, Bar de siempre;Excelente;Aceptable: podría mejorar en algunos aspectos;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Siempre pruebo sugerencias del chef con carne y champiñones ;Si limonadas, con menta y gengibre , algo basico rico y natural! ;Me parece que la panera no debe venir como viene, deben darle mas calidad y cariño, mantecas no es mas aceptable, en su lugar una mayonesa con ciboulette o alguna otra salsa, pero algo minimamente elaborado. Posibilidad de algun pan calentito. ;No, no estoy interesado en este tipo de actividades;Lo puse arriba, panera a mejorar yendo a un estilo mas de valor agregado y cariño, y bebida limonadas;;
8/5/2023 13:59:16;Hombre;65 a 75 años;Malvín ;Una vez al mes o más;Celebraciones;Variedad y calidad del menú, Ubicación conveniente, Recomendación de conocidos o reseñas positivas;Familiar, Bar que te atienden como restaurante, Parrillada;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Ruido ambiente, Olores;Carnes Parrilla, pescados y mariscos ;No ;;Si, me gustan este tipo de eventos;Hacer promociones para los clientes frecuentes por ej si venís 3 veces Tenes el postre gratis ;;
8/5/2023 13:59:33;Hombre;56 a 65 años;;Ocasionalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Iluminación;Pastas con estofado;No;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 14:01:58;Hombre;26 a 35 años;Portones;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, Ubicación conveniente;Familiar, Bar de siempre, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Música, Comodidad del mobiliario;Picaña a las brasas con guarnición ;No necesariamente ;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 14:02:22;Hombre;36 a 45 años;Malvín ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Milanesa de la casa para 2;;;Si, me gustan este tipo de eventos;;;
8/5/2023 14:25:03;Hombre;26 a 35 años;Carrasco;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, Ubicación conveniente;Familiar, Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente, Olores;Tortilla y pasta;No;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 14:28:47;Mujer;Menor de 18 años;Centro ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Familiar, Restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;;;;No, no estoy interesado en este tipo de actividades;;;
8/5/2023 14:32:41;Mujer;26 a 35 años;Carrasco ;Varias veces al año;Comidas familiares;Tradición e historia del lugar;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ventilación;Salsa principe de napoles (ravioles), tortilla, brochette ;No;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 14:39:46;Hombre;46 a 55 años;Cordón ;Semanalmente;Reuniones con amigos;El ambiente y su calidez;Familiar, Restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Tendría en este tiempo algunas mesas con mantel etc como tenían antes de la pandemia. ;Carnes, pastas ;Más refrescos de litro ;Tendrían que no cobrar cubierto, panera, etc. La verdad que eso si no me parece cuando comenzaron a cobrar estas cosas;Si, me gustan este tipo de eventos;Lo dicho antes del cobro de paneras y cubierto ;;
8/5/2023 14:42:40;Hombre;65 a 75 años;Malvin ;Ocasionalmente;Comidas familiares;Recomendación de conocidos o reseñas positivas;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pollo con frutas y puré de manzana;;;Si, me gustan este tipo de eventos;;;
8/5/2023 15:03:01;Hombre;65 a 75 años;Pocitos;Varias veces al año;Comidas familiares;Vengo hace más de 40 años ;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ninguno ;Asados y pastas ;Ya hay demasiado …;Nunca;Si, me gustan este tipo de eventos;Sigan así ;;
8/5/2023 15:04:20;Mujer;56 a 65 años;Pocitos ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Milanesa napolitana ;;Brotola al roquefort ;Si, me gustan este tipo de eventos;Lemonchelo para el final;;
8/5/2023 15:51:25;Hombre;18 a 25 años;Carrasco;Semanalmente;Cenas románticas o especiales en pareja;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente, La decoración del lugar, Recomendación de conocidos o reseñas positivas, Ofertas y promociones especiales;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música, Ventilación;La picaña ;El agua ;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 16:06:36;Hombre;46 a 55 años;La teja;Ocasionalmente;Reuniones con amigos;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pasta con estofado , costillas riojanas;Brasero x 2;No;No, no estoy interesado en este tipo de actividades;No;;
8/5/2023 16:21:05;Mujer;46 a 55 años;Salinas;Una vez al mes o más;;Variedad y calidad del menú, Ubicación conveniente;Bar que te atienden como restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;;Milanesasi;Si;Si;Si, me gustan este tipo de eventos;;;
8/5/2023 18:10:55;Mujer;26 a 35 años;Salinas canelones;Es mi primera visita;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ventilación;Milanesa americana ;Ratatouille ;Demora de 40 minutos ;Si, me gustan este tipo de eventos;;;
8/5/2023 18:40:38;Mujer;36 a 45 años;Unión ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Bar que te atienden como restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;Las meriendas ;;;Si, me gustan este tipo de eventos;;;
8/5/2023 18:43:46;Hombre;36 a 45 años;Buceo;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Me gustan mucho las meriendas , son deliciosas , las medialunas y el cafe. Como la pesca del dia.;No;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 19:02:38;Hombre;56 a 65 años;Carrasco;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Parrilla, hamburguesa, pizza;No;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 20:40:41;Hombre;36 a 45 años;La asuncion ;Una vez al mes o más;Comida de negocios;Variedad y calidad del menú;Bar de siempre;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Olores;Pesca;;Olor en el baño ;No, no estoy interesado en este tipo de actividades;;;
8/5/2023 20:53:11;Mujer;36 a 45 años;Punta del Este ;Varias veces al año;Cenas románticas o especiales en pareja;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Pizza;No;No;No, no estoy interesado en este tipo de actividades;No;;
8/5/2023 20:59:04;Hombre;46 a 55 años;Punta del Este;Ocasionalmente;Comidas familiares;Variedad y calidad del menú;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ninguno;Asado, pizza, Milanesa;;;Si, me gustan este tipo de eventos;;;
8/5/2023 22:25:45;Hombre;26 a 35 años;Lagomar, Canelones;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ninguno ;Panchos del restaurante;;No;Si, me gustan este tipo de eventos;No;;
8/5/2023 22:28:30;Hombre;65 a 75 años;Carrasco ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pollo al ajillo con papas noisettes. La ensalada César.;No.;No.;Si, me gustan este tipo de eventos;No.;;
8/5/2023 22:30:39;Mujer;46 a 55 años;Cordón ;Ocasionalmente;Celebraciones;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Parillada;;;No, no estoy interesado en este tipo de actividades;;;
8/5/2023 22:36:39;Mujer;56 a 65 años;Carrasco norte;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente, Salon para reunion;Parrilla en general, boniato glaceado, ensalada Cesar;No;Alguna demora;Si, me gustan este tipo de eventos;Decoración y salón para reuniones;;
8/5/2023 22:57:42;Hombre;46 a 55 años;Carrasco;Varias veces al año;Comidas familiares;Ubicación conveniente;Bar que te atienden como restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;;;;Si, me gustan este tipo de eventos;;;
8/5/2023 23:33:20;Hombre;46 a 55 años;Malvin norte (parque Rivera ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Calefacción;Parrilla y pizza;Cerveza negra;Ninguno ;Si, me gustan este tipo de eventos;Me gusta cómo se maneja en el rubro ;;
8/5/2023 23:50:17;Mujer;56 a 65 años;Costa de oro;Ocasionalmente;;Recomendación de conocidos o reseñas positivas;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario;Pastas;Creocque nada;Ninguna;No, no estoy interesado en este tipo de actividades;Ninguna;;
8/5/2023 23:50:23;Hombre;56 a 65 años;Solymar;Ocasionalmente;Comidas familiares;Tradición e historia del lugar;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario;Parrilla;No;No;No, no estoy interesado en este tipo de actividades;;;
8/6/2023 0:04:52;Mujer;Menor de 18 años;Buceo;Es mi primera visita;Comidas familiares;El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;;;;Si, me gustan este tipo de eventos;;;
8/6/2023 0:07:51;Hombre;26 a 35 años;Buceo;Varias veces al año;Comidas familiares;Tradición e historia del lugar, El ambiente y su calidez;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;Pastas;No;;Si, me gustan este tipo de eventos;;;
8/6/2023 0:28:16;Mujer;26 a 35 años;Curva de Maroñas ;Es mi primera visita;Reuniones con amigos;El ambiente y su calidez;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pizza;Tragos frutales ;No;Si, me gustan este tipo de eventos;Ninguna ;;
8/6/2023 0:28:16;Mujer;26 a 35 años;Jardines del hipódromo ;Una vez al mes o más;Reuniones con amigos;Variedad y calidad del menú;Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pizza;;No;Si, me gustan este tipo de eventos;;;
8/6/2023 0:29:32;Mujer;46 a 55 años;Malvin alto ;Semanalmente;Reuniones con amigos;El ambiente y su calidez;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Chivito ;;No;Si, me gustan este tipo de eventos;;;
8/6/2023 13:19:20;Hombre;56 a 65 años;Sayago;Ocasionalmente;Cenas románticas o especiales en pareja;Variedad y calidad del menú, Tradición e historia del lugar;Bar de siempre, Bar que te atienden como restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Iluminación;Tortilla;;No;No, no estoy interesado en este tipo de actividades;;;
8/6/2023 13:20:48;Mujer;56 a 65 años;Sayago;Una vez al mes o más;Cenas románticas o especiales en pareja;Variedad y calidad del menú;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Mas silencioso;Bernjenas a la crema;no ;;Si, me gustan este tipo de eventos;Mas silencioso;;
8/6/2023 13:20:50;Mujer;36 a 45 años;Punta Gorda;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Familiar, Bar de siempre, Parrillada;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Iluminación, Música;Brochette de Pollo;;No;Si, me gustan este tipo de eventos;Descuento con otras tarjetas de crédito.;;
8/6/2023 13:25:30;Mujer;56 a 65 años;Punta Gorda;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Familiar, Bar de siempre, Parrillada;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Música, Ventilación;Arroz a la Valenciana;No;No;Si, me gustan este tipo de eventos;Cenas con música en vivo.;;
8/6/2023 13:29:38;Mujer;Mayor de 76 años;P Miramar;Semanalmente;Reuniones con amigos;Variedad y calidad del menú;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Abadejo;Cochinillo caliente ;;No, no estoy interesado en este tipo de actividades;;;
